feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7,healthy,3.59934661,0.3146656,0.3146656
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__un_f__S24-7,healthy,3.59934661,0.3146656,0.3146656
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__un_f__S24-7|s__un_f__S24-7,healthy,3.59934661,0.3146656,0.3146656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,healthy,3.53860899,0.09182063,0.09182063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Propionispora,healthy,3.50363388,0.004568122,0.004568122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Propionispora|s__hippei_g__Propionispora,healthy,3.50363388,0.004568122,0.004568122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__[Clostridium],healthy,3.5012951,0.1646912,0.1646912
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__[Clostridium]|s__litorale,healthy,3.49787634,0.153074,0.153074
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium],healthy,3.48603486,0.8156491,0.8156491
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,healthy,3.48594151,0.2485728,0.2485728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,healthy,3.48397462,0.7265466,0.7265466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae,healthy,3.47805774,1.561375e-05,1.561375e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__un_f__Christensenellaceae,healthy,3.4688774,3.340919e-05,3.340919e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__un_f__Christensenellaceae|s__un_f__Christensenellaceae,healthy,3.4688774,3.340919e-05,3.340919e-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium]|s__biforme,healthy,3.44738563,0.9663729,0.9663729
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,healthy,3.43872712,0.001910374,0.001910374
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,healthy,3.43848128,0.5392389,0.5392389
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__un_g__Adlercreutzia,healthy,3.43848128,0.5392389,0.5392389
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__fragilis,healthy,3.40277078,0.006967102,0.006967102
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__un_g__Desulfovibrio,healthy,3.40197413,0.7571137,0.7571137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Robinsoniella,healthy,3.3905359,0.3296625,0.3296625
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Robinsoniella|s__peoriensis,healthy,3.3905359,0.3296625,0.3296625
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,healthy,3.38302623,0.3551908,0.3551908
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,healthy,3.38299041,0.2521754,0.2521754
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,healthy,3.381788,0.285822,0.285822
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium,healthy,3.37221316,0.9965142,0.9965142
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__un_g__Catenibacterium,healthy,3.37217273,0.9707089,0.9707089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Phascolarctobacterium,healthy,3.3149422,0.7245776,0.7245776
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Phascolarctobacterium|s__un_g__Phascolarctobacterium,healthy,3.3149422,0.7245776,0.7245776
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__uniformis,healthy,3.26802261,0.04891889,0.04891889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae,healthy,3.25944754,0.1913839,0.1913839
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__[Thermicanaceae]|g__Bacillus_f__[Thermicanaceae],healthy,3.25478789,0.03715205,0.03715205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__[Thermicanaceae],healthy,3.2543264,0.03584391,0.03584391
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__[Thermicanaceae]|g__Bacillus_f__[Thermicanaceae]|s__solfatarensis,healthy,3.24347401,0.03313955,0.03313955
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__caccae,healthy,3.23897065,0.3548538,0.3548538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,healthy,3.23862104,0.2162537,0.2162537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,healthy,3.19131566,0.008209304,0.008209304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__un_g__Coprococcus,healthy,3.17578386,0.2162537,0.2162537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,healthy,3.13083798,0.006550742,0.006550742
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__crossotus,healthy,3.10446532,0.9952147,0.9952147
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Defluviitalea,healthy,3.0861036,0.01239935,0.01239935
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Defluviitalea|s__saccharophila,healthy,3.0861036,0.01239935,0.01239935
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__un_f__Coriobacteriaceae,healthy,3.07721206,0.1180099,0.1180099
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__un_f__Coriobacteriaceae|s__un_f__Coriobacteriaceae,healthy,3.07721206,0.1180099,0.1180099
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__hathewayi,healthy,3.04737361,0.3772559,0.3772559
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__obeum,healthy,3.00516911,0.2296808,0.2296808
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacterium,healthy,2.96613049,0.1201855,0.1201855
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacterium|s__un_g__Coriobacterium,healthy,2.96613049,0.1201855,0.1201855
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiaceae,healthy,2.96245762,0.6121089,0.6121089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,healthy,2.95609001,0.05047405,0.05047405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__variabile_g__Subdoligranulum,healthy,2.95609001,0.05047405,0.05047405
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,healthy,2.94225159,0.08959166,0.08959166
k__Bacteria|p__Synergistetes|c__Synergistia,healthy,2.9407362,0.08959166,0.08959166
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,healthy,2.93729626,0.3364951,0.3364951
k__Bacteria|p__Synergistetes,healthy,2.93693086,0.08959166,0.08959166
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae,healthy,2.93064464,0.09153483,0.09153483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__eggerthii,healthy,2.92020552,0.0007803401,0.0007803401
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,healthy,2.91770012,0.4631498,0.4631498
