feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae,healthy,0.6750324,0.07762774,0.07762774
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,healthy,0.67493919,0.1530814,0.1530814
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales,healthy,0.6742485,0.07762774,0.07762774
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__caseolyticus,healthy,0.66899093,0.2500724,0.2500724
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas,healthy,0.66576962,0.4316526,0.4316526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__vesicularis,healthy,0.66506227,0.4316526,0.4316526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae,healthy,0.66262875,0.1530814,0.1530814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Anaerospora|s__hongkongensis_g__Anaerospora,healthy,0.66124371,0.01899048,0.01899048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Anaerospora,healthy,0.66027933,0.01899048,0.01899048
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__succinicans,healthy,0.64536639,0.7974654,0.7974654
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Solanum|s__tuberosum_phytoplasma,healthy,0.64308352,0.05313036,0.05313036
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Solanum,healthy,0.64157366,0.05313036,0.05313036
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae,healthy,0.63638059,0.3584496,0.3584496
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__iners,healthy,0.63634606,0.2226733,0.2226733
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__pylori,healthy,0.63616596,0.9926662,0.9926662
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Phyllobacterium|s__un_g__Phyllobacterium,healthy,0.6332337,0.2238882,0.2238882
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Phyllobacterium,healthy,0.63259995,0.2238882,0.2238882
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__cc_115,healthy,0.63245432,0.3945501,0.3945501
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__cc_115|s__un_g__cc_115,healthy,0.6287929,0.3945501,0.3945501
k__Bacteria|p__SR1|c__un_p__SR1,healthy,0.59555991,0.7409817,0.7409817
k__Bacteria|p__SR1|c__un_p__SR1|o__un_p__SR1|f__un_p__SR1,healthy,0.59383759,0.7409817,0.7409817
k__Bacteria|p__SR1|c__un_p__SR1|o__un_p__SR1|f__un_p__SR1|g__un_p__SR1,healthy,0.59325553,0.7409817,0.7409817
k__Bacteria|p__SR1|c__un_p__SR1|o__un_p__SR1,healthy,0.59261302,0.7409817,0.7409817
k__Bacteria|p__SR1|c__un_p__SR1|o__un_p__SR1|f__un_p__SR1|g__un_p__SR1|s__un_p__SR1,healthy,0.5921202,0.7409817,0.7409817
k__Bacteria|p__SR1,healthy,0.59139916,0.7409817,0.7409817
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__lwoffii,healthy,0.57754368,0.5846569,0.5846569
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,healthy,0.55854906,0.5041807,0.5041807
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae,healthy,0.55848619,0.8970027,0.8970027
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenella,healthy,0.55158854,0.1434094,0.1434094
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus,healthy,0.55096788,0.01899048,0.01899048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenella|s__un_g__Rikenella,healthy,0.55019592,0.1434094,0.1434094
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__celerecrescens,healthy,0.54243372,0.2705897,0.2705897
k__Bacteria|p__Chloroflexi,healthy,0.53879058,0.9970196,0.9970196
k__Bacteria|p__Deferribacteres,healthy,0.53336104,0.6524956,0.6524956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Blvii28,healthy,0.52737706,0.5117308,0.5117308
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae,healthy,0.52646546,0.6524956,0.6524956
k__Bacteria|p__Deferribacteres|c__Deferribacteres,healthy,0.52482944,0.6524956,0.6524956
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales,healthy,0.52013099,0.6524956,0.6524956
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas,healthy,0.51991148,0.4126262,0.4126262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Blvii28|s__un_g__Blvii28,healthy,0.51718619,0.5117308,0.5117308
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__aidingensis,healthy,0.50903175,0.02329098,0.02329098
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__lividum,healthy,0.4905247,0.6390185,0.6390185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella|s__un_g__Tannerella,healthy,0.48889605,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae,healthy,0.4836982,0.2494723,0.2494723
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella,healthy,0.48368464,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Rubrobacteria,healthy,0.46910824,0.1953494,0.1953494
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter|s__un_g__Rubrobacter,healthy,0.46675848,0.1953494,0.1953494
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter,healthy,0.46451524,0.1953494,0.1953494
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales,healthy,0.46150248,0.1953494,0.1953494
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae,healthy,0.46057614,0.1953494,0.1953494
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Pseudobutyrivibrio|s__xylanivorans,healthy,0.45351677,0.4193827,0.4193827
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Proteiniborus,healthy,0.44459908,0.1458435,0.1458435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Proteiniborus|s__ethanoligenes,healthy,0.44422724,0.1458435,0.1458435
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium,healthy,0.43652362,0.4112018,0.4112018
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__nordii,healthy,0.42656837,0.9958043,0.9958043
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Marinococcus,healthy,0.42420221,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Sharpea|s__un_g__Sharpea,healthy,0.42200666,0.6359457,0.6359457
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Sharpea,healthy,0.42058056,0.6359457,0.6359457
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Marinococcus|s__un_g__Marinococcus,healthy,0.42029374,0.5642925,0.5642925
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__TG5,healthy,0.41883586,0.3614334,0.3614334
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__TG5|s__un_g__TG5,healthy,0.41786614,0.3614334,0.3614334
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Balneimonas,healthy,0.41710401,0.5642925,0.5642925
k__Bacteria|p__Acidobacteria,healthy,0.41229334,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Balneimonas|s__un_g__Balneimonas,healthy,0.41127536,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__asaccharolytica,healthy,0.4034664,0.7938323,0.7938323
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__un_g__Desulfobulbus,healthy,0.39914858,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales,healthy,0.39827498,0.7938323,0.7938323
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus,healthy,0.39620517,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__un_f__Lachnospiraceae,healthy,0.39613127,0.2166695,0.2166695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__un_f__Lachnospiraceae|s__un_f__Lachnospiraceae,healthy,0.39458237,0.2166695,0.2166695
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae,healthy,0.39366243,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__ansorpii,healthy,0.3881971,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella,healthy,0.38718241,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__mendocina,healthy,0.38010968,0.247317,0.247317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Nocardia,healthy,0.38002016,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae,healthy,0.37957362,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Nocardia|s__un_g__Nocardia,healthy,0.37895745,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Orenia|s__marismortui,healthy,0.37488932,0.9958043,0.9958043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae,healthy,0.37442238,0.9958043,0.9958043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Orenia,healthy,0.37191486,0.9958043,0.9958043
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__cinerea,healthy,0.36341792,0.3169436,0.3169436
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__un_g__Mycoplasma,healthy,0.36272622,0.247317,0.247317
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__sphaeroides,healthy,0.36188917,0.4427655,0.4427655
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__boliviensis,healthy,0.35984145,0.1246221,0.1246221
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__AKIW781,healthy,0.35678143,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__AKIW781|f__un_o__AKIW781|g__un_o__AKIW781|s__un_o__AKIW781,healthy,0.35673447,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__AKIW781|f__un_o__AKIW781|g__un_o__AKIW781,healthy,0.35552233,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__AKIW781|f__un_o__AKIW781,healthy,0.35509311,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Chloroflexi,healthy,0.3549854,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,healthy,0.34424126,0.8232487,0.8232487
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Facklamia,healthy,0.34406537,0.6328792,0.6328792
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae,healthy,0.34192999,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Facklamia|s__un_g__Facklamia,healthy,0.34188126,0.6328792,0.6328792
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__litoralis_g__Desulfovibrio,healthy,0.34170734,0.7176105,0.7176105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__myxofaciens,healthy,0.34119012,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae,healthy,0.33439649,0.3169436,0.3169436
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus_f__Bacillaceae|s__clausii,healthy,0.32586686,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Candidatus_Rhodoluna,healthy,0.32581602,1,1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Candidatus_Rhodoluna|s__un_g__Candidatus_Rhodoluna,healthy,0.32506129,1,1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella|s__sonnei,healthy,0.31615421,0.1953494,0.1953494
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus|s__invocatus,healthy,0.31465525,0.7364043,0.7364043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__un_o__Clostridiales,healthy,0.31386635,0.6166609,0.6166609
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus,healthy,0.31235814,0.7364043,0.7364043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__un_o__Clostridiales|g__un_o__Clostridiales,healthy,0.31221863,0.6166609,0.6166609
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Aeromicrobium|s__un_g__Aeromicrobium,healthy,0.31106669,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__un_o__Clostridiales|g__un_o__Clostridiales|s__un_o__Clostridiales,healthy,0.31103956,0.6166609,0.6166609
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales,healthy,0.30842334,0.7938323,0.7938323
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Aeromicrobium,healthy,0.3083631,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Anaerolineae,healthy,0.30786898,0.7938323,0.7938323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Chromohalobacter,healthy,0.30736342,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Chromohalobacter|s__salexigens,healthy,0.30680771,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|g__Desulfovirga|s__adipica,healthy,0.30371916,0.3169436,0.3169436
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|g__Desulfovirga,healthy,0.30328446,0.3169436,0.3169436
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax,healthy,0.3030227,0.1246221,0.1246221
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolinaceae,healthy,0.30292526,0.7938323,0.7938323
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae,healthy,0.30152723,0.3169436,0.3169436
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales,healthy,0.30110465,0.3169436,0.3169436
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales,healthy,0.29601877,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolinaceae|g__SHD-231|s__un_g__SHD-231,healthy,0.29588897,0.9958043,0.9958043
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__un_o__Solibacterales,healthy,0.29574842,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Gulbenkiania|s__mobilis_g__Gulbenkiania,healthy,0.29496606,0.9970196,0.9970196
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Gulbenkiania,healthy,0.29457821,0.9970196,0.9970196
k__Bacteria|p__Acidobacteria|c__Solibacteres,healthy,0.29331207,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter,healthy,0.29329661,1,1
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__un_o__Solibacterales|g__un_o__Solibacterales|s__un_o__Solibacterales,healthy,0.29328261,0.5642925,0.5642925
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolinaceae|g__SHD-231,healthy,0.29328032,0.9958043,0.9958043
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BD7-3,healthy,0.29284811,0.5642925,0.5642925
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__un_o__Solibacterales|g__un_o__Solibacterales,healthy,0.29281721,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BD7-3|f__un_o__BD7-3|g__un_o__BD7-3,healthy,0.2898556,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BD7-3|f__un_o__BD7-3,healthy,0.28923207,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae,healthy,0.28921155,0.1953494,0.1953494
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter,healthy,0.28634016,0.1953494,0.1953494
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter|s__un_g__Ramlibacter,healthy,0.28631775,0.1953494,0.1953494
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BD7-3|f__un_o__BD7-3|g__un_o__BD7-3|s__un_o__BD7-3,healthy,0.2859324,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae,healthy,0.28540809,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Phycicoccus,healthy,0.27992436,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Phycicoccus|s__un_g__Phycicoccus,healthy,0.27808989,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Tepidimonas,healthy,0.27772887,0.9958043,0.9958043
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Tepidimonas|s__un_g__Tepidimonas,healthy,0.27552134,0.9958043,0.9958043
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__yanoikuyae,healthy,0.27237947,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium,healthy,0.26806553,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__yabuuchiae,healthy,0.26797446,0.1953494,0.1953494
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae|s__neonatale,healthy,0.26580014,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4|s__un_g__rc4-4,healthy,0.26520525,0.4133314,0.4133314
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4,healthy,0.26433357,0.4133314,0.4133314
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__defluvii,healthy,0.26047626,0.1555714,0.1555714
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__marincola,healthy,0.25153609,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__porcinus,healthy,0.25116927,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus,healthy,0.24925164,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,healthy,0.23973728,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Paludibacter|s__un_g__Paludibacter,healthy,0.23827521,0.7364043,0.7364043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Paludibacter,healthy,0.23751487,0.7364043,0.7364043
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__un_g__Sphingopyxis,healthy,0.23403899,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor|s__un_g__Filifactor,healthy,0.23292135,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor,healthy,0.23073856,0.4143925,0.4143925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__aeruginosa,healthy,0.23018659,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium,healthy,0.22925646,0.247317,0.247317
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__un_f__Pirellulaceae|s__un_f__Pirellulaceae,healthy,0.2292059,0.4143925,0.4143925
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae,healthy,0.2282635,0.4143925,0.4143925
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales,healthy,0.22805183,0.4143925,0.4143925
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__un_f__Pirellulaceae,healthy,0.22659734,0.4143925,0.4143925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__pseudolongum,healthy,0.21495664,0.247317,0.247317
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Ochrobactrum,healthy,0.21383497,0.6451827,0.6451827
k__Bacteria|p__Acidobacteria|c__[Chloracidobacteria],healthy,0.2137594,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae,healthy,0.21321179,0.6451827,0.6451827
k__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]|o__RB41,healthy,0.21299854,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__rimae,healthy,0.21144617,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Desulfotomaculum,healthy,0.21006643,0.991059,0.991059
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__azotifigens,healthy,0.20491877,0.4143925,0.4143925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Desulfotomaculum|s__guttoideum,healthy,0.20414016,0.991059,0.991059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia,healthy,0.1995835,0.4143925,0.4143925
