Estimate,Std. Error,df,t value,Pr(>|t|),group,guild,p_signif,-Log10(Pvalue)
-11.1447906418912,11.2693693511509,296.335076134755,-0.988945369933505,0.323496663009149,Diastolic_BP,guild_1,,0.490130194884577
-10.5681285555085,11.2540730141794,297.000666304081,-0.93904922619512,0.348468523267674,Diastolic_BP,guild_2,,0.457836445079727
30.3900673162162,11.0471994085042,296.709665684776,2.75092955168544,0.00630793446586749,Diastolic_BP,guild_3(FERM),**,2.20011282727401
16.3537507657125,11.15110138115,297.180211118766,1.46655923991125,0.143553360292071,Diastolic_BP,guild_4,,0.842986637098346
4.68809410692033,11.0543235380585,297.33228846279,0.424095973921867,0.671802486075891,Diastolic_BP,guild_5,,0.172758393338887
7.31978042033158,11.0780045109212,296.150171974667,0.660749001601814,0.509286941494564,Diastolic_BP,guild_6,,0.293037459322662
-19.1441121628784,11.2264664562941,296.871459049116,-1.70526605476519,0.0891908653455682,Diastolic_BP,guild_7,,1.049679622453
-8.93536751800213,10.9765383751379,296.1947929907,-0.814042388649676,0.416274619022703,Diastolic_BP,guild_8,,0.380620067985234
-1.00231756169928,11.0144725992857,296.431374811929,-0.0910000504031649,0.927554011488395,Diastolic_BP,guild_9,,0.0326607920003466
-26.9298645795179,16.6185934203352,295.354205041118,-1.62046593826439,0.106199343944641,Systolic_BP,guild_1,,0.973878166136869
-34.9028083843927,16.5290555665813,295.896208732637,-2.11160330629898,0.0355586899679952,Systolic_BP,guild_2,*,1.44905424742485
40.926724735231,16.3666467885248,295.924279318933,2.50061758306693,0.0129384216101198,Systolic_BP,guild_3(FERM),*,1.88811870108815
0.538507825134643,16.5261729938227,292.042655484596,0.0325851499518933,0.974027670719516,Systolic_BP,guild_4,,0.0114287052670742
18.9727008866808,16.3189058215111,296.187585079218,1.16262089469697,0.245919233682084,Systolic_BP,guild_5,,0.609207503163137
13.8716922237812,16.3946721933047,295.337241991801,0.846109764210236,0.398176530120034,Systolic_BP,guild_6,,0.399924342349179
-39.7502718775774,16.5246601128063,295.509456282721,-2.40551222271565,0.0167642119459481,Systolic_BP,guild_7,*,1.77561685712155
-1.51759452042508,16.2503251221418,295.098932624016,-0.0933885635529401,0.925658247811702,Systolic_BP,guild_8,,0.0335493248565656
-14.7192687186637,16.3593806574644,296.124447452512,-0.899744863626458,0.368987121503482,Systolic_BP,guild_9,,0.43298879144955
