sample ID	load
MI_344_H	33786690323.818764
MI_345_H	53999819866.199684
MI_346_H	57168695106.51211
MI_347_H	52381302396.397675
MI_348_H	55880966429.928116
MI_349_H	53567442169.115944
MI_350_H	45151347434.91192
MI_351_H	56235984831.23446
MI_352_H	61069960165.90463
MI_353_H	39580541146.52317
MI_354_H	36420992470.22215
MI_355_H	39853436376.11072
MI_356_H	50258447422.95058
MI_357_H	42399368699.052086
MI_358_H	43627468879.23007
MI_359_H	61986943778.58391
MI_360_H	35603265263.233116
MI_361_H	51572317639.22789
MI_363_H	49272872297.30912
MI_364_H	52625261545.161026
MI_365_H	66247409346.38748
MI_366_H	30117035281.018326
MI_367_H	42440820880.11419
MI_368_H	61717201768.524605
MI_369_H	42991897329.743004
MI_370_H	51798175261.71746
MI_371_H	60083495104.96335
MI_372_H	56404677037.82319
MI_373_H	60476898133.80144
MI_374_H	54550443581.16363
MI_375_H	53763299778.239944
MI_376_H	55606649010.578804
MI_377_H	51718501736.338234
MI_380_H	62114754176.84709
MI_381_H	54425049881.8349
MI_382_H	54176435158.669334
MI_383_H	61288673033.54736
MI_384_H	60247321570.16646
MI_385_H	37934122028.341034
MI_386_H	61747838202.394936
MI_388_H	62097979390.09215
MI_389_H	38699947918.35935
MI_390_H	63125973945.63242
MI_391_H	47273812501.44786
MI_392_H	47827321102.42515
MI_393_H	57702826912.68788
MI_394_H	40314131297.12844
MI_395_H	47112560821.058304
MI_396_H	80192508102.55695
MI_397_H	49636021791.02655
MI_398_H	38497204279.926285
MI_399_H	49218478195.08619
MI_400_H	61539377531.334045
MI_401_H	34385702927.00711
MI_403_H	67575335100.699005
MI_404_H	50702958652.05523
MI_405_H	72779177153.38118
MI_406_H	66491964607.31093
MI_408_H	54388610665.92957
MI_409_H	38322863014.449684
MI_410_H	49618803323.69989
MI_411_H	57191673116.225586
MI_412_H	61325560363.1794
MI_413_H	60968125730.809784
MI_414_H	72864409472.31665
MI_415_H	36258840331.08145
MI_416_H	45367013280.30488
MI_417_H	46939282370.46039
MI_418_H	57330742391.94892
MI_419_H	65198928075.2932
MI_420_H	54510688390.07957
MI_421_H	52168823324.857765
MI_423_H	49568707610.20496
MI_424_H	53091988505.8601
MI_425_H	60336953974.651825
MI_426_H	46287470425.225334
MI_427_H	50521355989.76326
MI_430_H	61329869820.04278
MI_431_H	48749927721.698074
MI_433_H	47232410717.43969
MI_434_H	40011538352.05272
MI_435_H	40103547620.22791
MI_436_H	60740552347.06133
MI_437_H	59587879172.37237
MI_438_H	59800102334.244194
MI_439_H	50716098409.64087
MI_440_H	44883748372.322174
MI_442_H	56453870877.01759
MI_444_H	58958566156.091866
MI_445_H	55548068267.63034
MI_446_H	66881489827.1368
MI_447_H	57384272108.36559
MI_449_H	31712203898.023094
MI_450_H	32165549565.53412
MI_451_H	58459005805.58159
MI_452_H	28383495062.254055
MI_453_H	56714182095.54804
MI_454_H	56566297660.25322
MI_455_H	66478241009.810684
MI_456_H	61473736798.426964
MI_458_H1	36425951409.66999
MI_458_H2	42510215739.71535
MI_459_H	63770495152.42399
